round,actual,bet,confidence,chaos,risk,stake,pnl,recommendation
388,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
389,"BANKER","PLAYER",71,77,"HIGH",17,-17,"SKIP"
390,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
391,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
392,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
393,"PLAYER","BANKER",69,76,"HIGH",17,-17,"SKIP"
394,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
395,"PLAYER","PLAYER",69,76,"HIGH",17,17,"SKIP"
396,"BANKER","PLAYER",69,76,"HIGH",17,-17,"SKIP"
397,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
398,"BANKER","BANKER",67,76,"HIGH",17,16,"SKIP"
399,"PLAYER","BANKER",69,76,"HIGH",17,-17,"SKIP"
400,"BANKER","PLAYER",67,76,"HIGH",17,-17,"SKIP"
401,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
402,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
403,"PLAYER","BANKER",67,76,"HIGH",17,-17,"SKIP"
404,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
405,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
406,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
407,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
408,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
409,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
410,"BANKER","PLAYER",67,76,"HIGH",17,-17,"SKIP"
411,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
412,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
413,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
414,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
415,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
416,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
417,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
418,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
419,"BANKER","PLAYER",60,77,"HIGH",16,-16,"SKIP"
420,"BANKER","BANKER",60,77,"HIGH",16,15,"SKIP"
421,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
422,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
423,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
424,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
425,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
346,"PLAYER","PLAYER",0,77,"HIGH",10,10,"SKIP"
347,"PLAYER","PLAYER",0,77,"HIGH",10,10,"SKIP"
348,"PLAYER","PLAYER",2,77,"HIGH",10,10,"SKIP"
349,"BANKER","PLAYER",7,77,"HIGH",11,-11,"SKIP"
350,"BANKER","BANKER",4,77,"HIGH",10,9,"SKIP"
351,"BANKER","BANKER",12,77,"HIGH",11,10,"SKIP"
352,"BANKER","BANKER",15,77,"HIGH",12,11,"SKIP"
353,"PLAYER","BANKER",17,77,"HIGH",12,-12,"SKIP"
354,"PLAYER","PLAYER",18,77,"HIGH",12,12,"SKIP"
355,"BANKER","PLAYER",23,77,"HIGH",12,-12,"SKIP"
356,"BANKER","BANKER",22,77,"HIGH",12,11,"SKIP"
357,"BANKER","BANKER",25,77,"HIGH",13,12,"SKIP"
358,"PLAYER","BANKER",24,77,"HIGH",12,-12,"SKIP"
359,"PLAYER","PLAYER",28,77,"HIGH",13,13,"SKIP"
360,"BANKER","PLAYER",29,77,"HIGH",13,-13,"SKIP"
361,"BANKER","BANKER",31,77,"HIGH",13,12,"SKIP"
362,"BANKER","BANKER",31,77,"HIGH",13,12,"SKIP"
363,"BANKER","BANKER",31,77,"HIGH",13,12,"SKIP"
364,"PLAYER","BANKER",31,77,"HIGH",13,-13,"SKIP"
365,"PLAYER","PLAYER",34,77,"HIGH",13,13,"SKIP"
366,"BANKER","PLAYER",36,77,"HIGH",14,-14,"SKIP"
367,"BANKER","BANKER",38,77,"HIGH",14,13,"SKIP"
368,"BANKER","BANKER",39,77,"HIGH",14,13,"SKIP"
369,"BANKER","BANKER",38,77,"HIGH",14,13,"SKIP"
370,"PLAYER","BANKER",40,77,"HIGH",14,-14,"SKIP"
371,"BANKER","PLAYER",39,77,"HIGH",14,-14,"SKIP"
372,"BANKER","BANKER",41,77,"HIGH",14,13,"SKIP"
373,"PLAYER","BANKER",44,77,"HIGH",14,-14,"SKIP"
374,"PLAYER","PLAYER",42,77,"HIGH",14,14,"SKIP"
375,"PLAYER","PLAYER",45,77,"HIGH",15,15,"SKIP"
376,"BANKER","PLAYER",45,77,"HIGH",15,-15,"SKIP"
377,"BANKER","BANKER",44,77,"HIGH",14,13,"SKIP"
378,"PLAYER","BANKER",49,77,"HIGH",15,-15,"SKIP"
379,"BANKER","PLAYER",48,77,"HIGH",15,-15,"SKIP"
380,"BANKER","BANKER",51,77,"HIGH",15,14,"SKIP"
381,"BANKER","BANKER",58,77,"HIGH",16,15,"SKIP"
382,"BANKER","BANKER",60,77,"HIGH",16,15,"SKIP"
383,"BANKER","BANKER",66,77,"HIGH",17,16,"SKIP"
384,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
385,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
386,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
387,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
388,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
389,"BANKER","PLAYER",71,77,"HIGH",17,-17,"SKIP"
390,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
391,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
392,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
393,"PLAYER","BANKER",69,76,"HIGH",17,-17,"SKIP"
394,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
395,"PLAYER","PLAYER",69,76,"HIGH",17,17,"SKIP"
396,"BANKER","PLAYER",69,76,"HIGH",17,-17,"SKIP"
397,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
398,"BANKER","BANKER",67,76,"HIGH",17,16,"SKIP"
399,"PLAYER","BANKER",69,76,"HIGH",17,-17,"SKIP"
400,"BANKER","PLAYER",67,76,"HIGH",17,-17,"SKIP"
401,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
402,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
403,"PLAYER","BANKER",67,76,"HIGH",17,-17,"SKIP"
404,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
405,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
406,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
407,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
408,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
409,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
410,"BANKER","PLAYER",67,76,"HIGH",17,-17,"SKIP"
411,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
412,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
413,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
414,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
415,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
416,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
417,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
418,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
419,"BANKER","PLAYER",60,77,"HIGH",16,-16,"SKIP"
420,"BANKER","BANKER",60,77,"HIGH",16,15,"SKIP"
421,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
422,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
423,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
424,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
425,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
426,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
427,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
428,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
429,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
430,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
431,"PLAYER","BANKER",69,77,"HIGH",17,-17,"SKIP"
432,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
433,"PLAYER","PLAYER",69,77,"HIGH",17,17,"SKIP"
434,"PLAYER","PLAYER",69,76,"HIGH",17,17,"SKIP"
435,"BANKER","PLAYER",69,76,"HIGH",17,-17,"SKIP"
436,"PLAYER","BANKER",67,76,"HIGH",17,-17,"SKIP"
437,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
438,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
439,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
440,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
441,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
442,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
443,"PLAYER","BANKER",62,77,"HIGH",16,-16,"SKIP"
444,"PLAYER","PLAYER",60,77,"HIGH",16,16,"SKIP"
445,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
446,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
447,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
448,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
449,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
450,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
451,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
452,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
453,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
454,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
455,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
456,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
457,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
458,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
459,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
460,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
461,"BANKER","PLAYER",67,77,"HIGH",17,-17,"SKIP"
462,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
463,"PLAYER","BANKER",69,77,"HIGH",17,-17,"SKIP"
464,"SKIP","PLAYER",67,77,"HIGH",17,0,"SKIP"
465,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
466,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
467,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
468,"SKIP","BANKER",67,77,"HIGH",17,0,"SKIP"
469,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
470,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
471,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
472,"BANKER","BANKER",69,76,"HIGH",17,16,"SKIP"
473,"PLAYER","BANKER",71,76,"HIGH",17,-17,"SKIP"
474,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
475,"PLAYER","BANKER",67,77,"HIGH",17,-17,"SKIP"
476,"BANKER","PLAYER",64,77,"HIGH",16,-16,"SKIP"
477,"BANKER","BANKER",64,77,"HIGH",16,15,"SKIP"
478,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
479,"PLAYER","PLAYER",62,77,"HIGH",16,16,"SKIP"
480,"BANKER","PLAYER",62,77,"HIGH",16,-16,"SKIP"
481,"BANKER","BANKER",60,77,"HIGH",16,15,"SKIP"
482,"BANKER","BANKER",60,77,"HIGH",16,15,"SKIP"
483,"BANKER","BANKER",62,77,"HIGH",16,15,"SKIP"
484,"PLAYER","BANKER",64,77,"HIGH",16,-16,"SKIP"
485,"PLAYER","PLAYER",64,77,"HIGH",16,16,"SKIP"
486,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
487,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
488,"BANKER","PLAYER",69,77,"HIGH",17,-17,"SKIP"
489,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
490,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
491,"BANKER","BANKER",69,77,"HIGH",17,16,"SKIP"
492,"PLAYER","BANKER",69,76,"HIGH",17,-17,"SKIP"
493,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
494,"PLAYER","PLAYER",69,76,"HIGH",17,17,"SKIP"
495,"BANKER","PLAYER",69,76,"HIGH",17,-17,"SKIP"
496,"BANKER","BANKER",67,77,"HIGH",17,16,"SKIP"
497,"PLAYER","BANKER",67,76,"HIGH",17,-17,"SKIP"
498,"PLAYER","PLAYER",67,77,"HIGH",17,17,"SKIP"
499,"PLAYER","PLAYER",67,76,"HIGH",17,17,"SKIP"
500,"BANKER","PLAYER",67,76,"HIGH",17,-17,"SKIP"
